f1,f2,f3,f4,f5,f6,time
-1,1,-1,1,1,1,787
-1,-1,-1,-1,1,-1,878
-1,-1,-1,-1,1,-1,878
-1,-1,-1,-1,1,-1,800
-1,-1,-1,-1,1,-1,1747
-1,-1,-1,-1,1,-1,800
-1,-1,-1,-1,1,-1,857
-1,-1,-1,-1,1,-1,639
-1,-1,-1,-1,1,-1,938
-1,-1,-1,-1,1,-1,1075
-1,-1,-1,-1,1,-1,903
1,1,-1,-1,1,1,1232
1,1,-1,-1,1,1,1235
1,1,-1,-1,1,1,1009
1,1,-1,-1,1,1,1380
1,1,-1,-1,1,1,1978
1,1,-1,-1,1,1,1292
1,1,-1,-1,1,1,1487
1,1,-1,-1,1,1,1516
1,1,-1,-1,1,1,1199
1,1,-1,-1,1,1,1712
-1,1,-1,-1,-1,-1,1103
-1,1,-1,-1,-1,-1,977
-1,1,-1,-1,-1,-1,900
-1,1,-1,-1,-1,-1,1130
-1,1,-1,-1,-1,-1,1019
-1,1,-1,-1,-1,-1,982
-1,1,-1,-1,-1,-1,1223
-1,1,-1,-1,-1,-1,995
-1,1,-1,-1,-1,-1,909
-1,1,-1,-1,-1,-1,865
1,-1,-1,-1,-1,1,1629
1,-1,-1,-1,-1,1,1173
1,-1,-1,-1,-1,1,1953
1,-1,-1,-1,-1,1,1629
1,-1,-1,-1,-1,1,1173
1,-1,-1,-1,-1,1,1953
1,-1,-1,-1,-1,1,1629
1,-1,-1,-1,-1,1,1173
1,-1,-1,-1,-1,1,1953
1,-1,-1,-1,-1,1,1629
1,1,-1,1,-1,-1,1092
1,1,-1,1,-1,-1,948
1,1,-1,1,-1,-1,844
1,1,-1,1,-1,-1,1387
1,1,-1,1,-1,-1,1129
1,1,-1,1,-1,-1,2735
1,1,-1,1,-1,-1,2409
1,1,-1,1,-1,-1,2350
1,1,-1,1,-1,-1,1533
1,1,-1,1,-1,-1,1433
-1,1,-1,1,-1,1,815
-1,1,-1,1,-1,1,1236
-1,1,-1,1,-1,1,1221
-1,1,-1,1,-1,1,1181
-1,1,-1,1,-1,1,1070
-1,1,-1,1,-1,1,1130
-1,1,-1,1,-1,1,1169
-1,1,-1,1,-1,1,1111
-1,1,-1,1,-1,1,1306
-1,1,-1,1,-1,1,1294
-1,1,1,1,1,-1,712
-1,1,1,1,1,-1,843
-1,1,1,1,1,-1,1625
