f1,f2,f3,f4,f5,f6,time
-1,-1,-1,1,-1,-1,6.799055862058796
-1,-1,-1,1,-1,-1,7.374629015218945
-1,-1,-1,1,-1,-1,6.90975328164481
-1,-1,-1,1,-1,-1,7.8399193600125825
1,1,-1,1,-1,1,6.920671504248683
1,1,-1,1,-1,1,7.25063551189868
1,1,-1,1,-1,1,7.304515946460155
1,1,-1,1,-1,1,7.321849713788356
1,1,-1,1,-1,1,7.346010209913293
1,1,-1,1,-1,1,7.338238150065589
1,1,-1,1,-1,1,7.425953657077541
1,1,-1,1,-1,1,7.134093721192866
1,1,-1,1,-1,1,7.087573705557973
1,1,-1,1,-1,1,7.2196420401307355
-1,1,-1,1,-1,-1,6.874198495453294
-1,1,-1,1,-1,-1,6.97354301952014
-1,1,-1,1,-1,-1,6.912742820493176
-1,1,-1,1,-1,-1,6.894670039433482
-1,1,-1,1,-1,-1,6.946975992135418
-1,1,-1,1,-1,-1,6.898714534329988
-1,1,-1,1,-1,-1,6.90875477931522
-1,1,-1,1,-1,-1,6.637258031284457
-1,1,-1,1,-1,-1,6.892641641172089
-1,1,-1,1,-1,-1,6.843749949006225
-1,-1,-1,-1,-1,1,6.881411303642535
-1,-1,-1,-1,-1,1,6.976348070447749
-1,-1,-1,-1,-1,1,6.930494765951626
-1,-1,-1,-1,-1,1,6.754604099487962
-1,-1,-1,-1,-1,1,6.717804695023691
-1,-1,-1,-1,-1,1,6.620073206530356
-1,-1,-1,-1,-1,1,6.499787040655854
-1,-1,-1,-1,-1,1,6.8679744089702925
-1,-1,-1,-1,-1,1,6.645090969505644
-1,-1,-1,-1,-1,1,6.322565239927284
1,1,-1,-1,-1,-1,715
1,1,-1,-1,-1,-1,1264
1,1,-1,-1,-1,-1,1016
1,1,-1,-1,-1,-1,1112
1,1,-1,-1,-1,-1,1720
1,1,-1,-1,-1,-1,790
1,1,-1,-1,-1,-1,715
1,1,-1,-1,-1,-1,1264
1,1,-1,-1,-1,-1,1016
1,1,-1,-1,-1,-1,1112
-1,1,-1,-1,1,1,6.650279048587422
-1,1,-1,-1,1,1,6.806829360392176
-1,1,-1,-1,1,1,7.029972911706386
-1,1,-1,-1,1,1,6.879355804460439
-1,1,-1,-1,1,1,6.698268054115413
-1,1,-1,-1,1,1,6.803505257608338
-1,1,-1,-1,1,1,6.608000625296087
-1,1,-1,-1,1,1,6.86484777797086
-1,1,-1,-1,1,1,6.633318433280377
-1,1,-1,-1,1,1,6.947937068614969
1,-1,-1,-1,1,-1,7.1731917424865985
1,-1,-1,-1,1,-1,7.033506484287697
1,-1,-1,-1,1,-1,6.911747300251674
1,-1,-1,-1,1,-1,7.027314514039777
1,-1,-1,-1,1,-1,7.004881989712859
1,-1,-1,-1,1,-1,7.122866658599083
1,-1,-1,-1,1,-1,7.05444965813294
1,-1,-1,-1,1,-1,7.197435354096591
